# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/annot.gtf" "-o" "counts/counts.txt" "-p" "-B" "-C" "-s" "2" "-T" "4" "alignment/WT_1A.sorted.bam" "alignment/WT_1B.sorted.bam" "alignment/WT_1C.sorted.bam" "alignment/WT_2A.sorted.bam" "alignment/WT_2B.sorted.bam" "alignment/WT_2C.sorted.bam" "alignment/WT_3A.sorted.bam" "alignment/WT_3B.sorted.bam" "alignment/WT_3C.sorted.bam" "alignment/WT_4A.sorted.bam" "alignment/WT_4B.sorted.bam" "alignment/WT_4C.sorted.bam" "alignment/rrp6_1A.sorted.bam" "alignment/rrp6_1B.sorted.bam" "alignment/rrp6_1C.sorted.bam" "alignment/rrp6_2A.sorted.bam" "alignment/rrp6_2B.sorted.bam" "alignment/rrp6_2C.sorted.bam" "alignment/rrp6_3A.sorted.bam" "alignment/rrp6_3B.sorted.bam" "alignment/rrp6_3C.sorted.bam" "alignment/rrp6_4A.sorted.bam" "alignment/rrp6_4B.sorted.bam" "alignment/rrp6_4C.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment/WT_1A.sorted.bam	alignment/WT_1B.sorted.bam	alignment/WT_1C.sorted.bam	alignment/WT_2A.sorted.bam	alignment/WT_2B.sorted.bam	alignment/WT_2C.sorted.bam	alignment/WT_3A.sorted.bam	alignment/WT_3B.sorted.bam	alignment/WT_3C.sorted.bam	alignment/WT_4A.sorted.bam	alignment/WT_4B.sorted.bam	alignment/WT_4C.sorted.bam	alignment/rrp6_1A.sorted.bam	alignment/rrp6_1B.sorted.bam	alignment/rrp6_1C.sorted.bam	alignment/rrp6_2A.sorted.bam	alignment/rrp6_2B.sorted.bam	alignment/rrp6_2C.sorted.bam	alignment/rrp6_3A.sorted.bam	alignment/rrp6_3B.sorted.bam	alignment/rrp6_3C.sorted.bam	alignment/rrp6_4A.sorted.bam	alignment/rrp6_4B.sorted.bam	alignment/rrp6_4C.sorted.bam
YMR092C	XIII	451632	453479	-	1848	3488	3680	3897	4302	4674	4906	4800	5005	5183	5363	6003	5993	2906	3063	3174	4446	4785	4797	4498	4951	4698	4921	5316	5412
YMR138W	XIII	545155	545730	+	576	141	135	122	131	157	154	149	144	166	174	221	196	116	104	115	129	86	113	109	81	72	107	124	107
YMR122W-A	XIII	511315	511569	+	255	3813	4063	4108	5675	6427	6228	6056	6442	6741	5783	6501	6749	2420	2859	2846	4680	5083	4933	4290	4827	4921	5159	5495	5465
YMR053C	XIII	380346	382898	-	2553	212	206	210	573	530	572	489	579	565	598	739	701	120	129	137	434	490	530	357	421	460	495	479	534
YMR220W	XIII	712316	713671	+	1356	1261	1547	1461	1538	1542	1497	1513	1525	1698	1752	1698	1884	1469	1578	1565	1624	1522	1605	1437	1566	1618	1578	1898	1861
YMR087W	XIII	442527	443381	+	855	185	224	166	208	209	237	252	248	315	404	329	328	220	198	212	390	366	400	352	432	369	468	416	445
YML031W	XIII	214189	216156	+	1968	2074	2222	2215	1927	2101	2076	1824	1829	1837	2280	2182	2474	1807	2049	2042	1735	1908	1867	1512	1574	1772	1937	2080	2028
YML118W	XIII	32334	33851	+	1518	168	215	238	427	418	402	326	336	346	448	392	425	107	170	172	277	383	337	229	218	276	298	342	305
YML120C	XIII	28266	29807	-	1542	438	486	515	1093	1163	1176	975	1064	1025	1145	1178	1284	387	451	446	1318	1494	1578	1286	1336	1396	1865	1967	2171
YMR078C	XIII	422503	424728	-	2226	659	747	781	724	849	798	686	678	760	851	905	782	486	498	523	468	546	539	390	385	419	497	518	494
tL(CAA)M	XIII;XIII	504895;504965	504932;505008	+;+	82	4	5	5	1	1	4	4	4	5	1	0	3	6	14	24	13	9	15	6	5	9	5	4	12
YMR042W	XIII	352603	353136	+	534	353	337	320	265	284	270	317	356	313	401	437	415	258	382	310	233	264	214	197	238	214	255	251	278
YMR251W	XIII	772915	774015	+	1101	160	213	172	183	160	200	208	214	194	416	487	468	72	77	54	66	62	56	36	34	67	57	84	63
YMR223W	XIII	716715	718130	+	1416	1059	1139	1234	772	844	957	842	929	879	856	1009	1039	969	1132	1294	958	1003	983	1018	1211	1042	1029	1053	1144
YML007C-A	XIII	253162	253272	-	111	3	4	8	9	14	13	12	15	10	9	11	17	32	14	40	8	17	9	25	35	34	32	24	17
YMR256C	XIII	778945	779127	-	183	360	359	338	330	381	411	466	452	474	378	332	381	390	368	417	482	506	529	599	709	747	582	651	690
YMR214W	XIII	695350	696483	+	1134	357	422	425	550	554	565	457	482	553	592	610	606	353	379	365	462	524	502	316	387	410	494	523	499
tP(UGG)M	XIII;XIII	196068;196135	196103;196170	-;-	72	16	14	10	1	13	13	17	23	11	11	9	16	15	13	20	25	19	19	18	26	27	22	16	17
YMR055C	XIII	386101	387021	-	921	188	243	200	212	208	234	211	247	208	242	249	274	179	199	197	153	197	169	166	220	225	175	186	229
YML117W	XIII	34243	37647	+	3405	3761	3864	4161	4811	5213	5035	4610	4965	5032	6153	6264	6415	2968	3049	3033	4167	4454	4478	3782	4001	4226	5077	5559	5535
YMR271C	XIII	806865	807548	-	684	102	97	91	112	142	115	186	184	182	207	236	235	86	56	55	100	111	88	75	114	120	90	113	139
snR24	XIII	499984	500072	-	89	110	113	131	84	77	76	85	115	98	66	85	88	464	464	450	341	407	353	564	512	510	364	411	471
YMR226C	XIII	721593	722396	-	804	2700	3149	2973	3367	3631	3745	3823	3964	4002	3885	4186	4373	2422	2527	2604	3409	3610	3903	3411	3770	3637	3933	4085	4210
YML110C	XIII	50031	50954	-	924	2447	2568	2617	2578	2847	3074	3176	3461	3526	3996	4344	4171	1587	1812	1756	2173	2367	2432	2376	2432	2545	2584	2718	2541
YML047W-A	XIII	179893	180258	+	366	1	4	4	0	1	0	5	3	2	4	3	6	3	4	6	8	2	1	3	7	2	2	6	4
YML007W	XIII	253848	255800	+	1953	2708	3079	3230	2808	3059	3291	3283	3575	3758	4388	4736	4667	2784	3074	3004	2880	3096	3264	3016	3293	3300	3527	3718	3824
YMR190C	XIII	640915	645258	-	4344	1012	1088	1102	1179	1339	1203	1030	965	1142	1187	1266	1249	924	896	981	908	981	1089	672	758	834	1002	1088	1105
YMR225C	XIII;XIII	720960;721346	721198;721403	-;-	297	480	547	600	514	529	467	615	584	560	628	664	680	391	364	314	332	390	432	395	401	483	413	433	474
YMR264W	XIII	795805	796416	+	612	945	1228	1204	1286	1265	1273	1368	1536	1552	1537	1634	1619	1115	1149	1266	1385	1431	1458	1551	1695	1701	1630	1652	1626
YMR037C	XIII	344403	346517	-	2115	1309	1410	1325	1305	1355	1347	974	1127	1249	1241	1395	1343	826	1069	973	993	1050	1178	842	896	895	974	1027	1103
YML024W	XIII;XIII	225889;226290	225891;226697	+;+	411	23944	25780	25978	21462	23464	23466	21935	23112	23162	18878	19942	19936	18662	20377	20854	21136	22113	22923	22045	23163	23515	21402	22431	22206
YML083C	XIII	99794	101050	-	1257	21	26	18	24	27	27	32	40	38	85	115	106	10	6	2	2	4	0	8	2	4	4	9	3
YMR182W-A	XIII	625811	625897	+	87	7	6	14	7	9	18	7	7	14	19	14	14	23	20	35	16	35	27	31	8	20	22	21	19
YMR030W	XIII	330793	331923	+	1131	314	384	342	460	507	480	473	527	564	594	600	573	239	241	225	363	424	362	438	470	515	415	445	468
YMR187C	XIII	634689	635984	-	1296	315	350	318	299	394	335	326	340	361	510	501	505	283	330	403	333	345	307	390	327	371	372	410	379
YMR238W	XIII	746353	747729	+	1377	994	1054	1070	1116	1174	1284	1331	1516	1456	1834	1714	1899	685	736	772	914	951	1029	982	1030	1133	1053	1156	1116
YML061C	XIII	148953	151532	-	2580	1139	1240	1342	1085	1243	1128	951	1119	1154	1266	1496	1411	852	920	872	912	1052	1003	806	841	926	969	1079	1130
YMR130W	XIII	532119	533027	+	909	444	471	411	426	476	483	435	388	487	369	431	425	400	399	440	356	348	396	393	432	412	446	463	447
YMR005W	XIII	276045	277211	+	1167	1096	1305	1318	1120	1049	1133	1084	1217	1156	1349	1378	1407	971	1111	1066	981	1093	1090	970	993	1081	1155	1166	1289
YMR054W	XIII	383303	385975	+	2673	946	939	1068	1702	1775	1743	1147	1216	1185	1433	1547	1553	828	936	829	1081	1215	1173	808	868	862	1172	1226	1236
YMR209C	XIII	685911	687284	-	1374	1039	1107	1170	808	846	942	868	967	992	1080	1049	995	1074	1062	1047	829	1034	944	1005	1039	1047	1144	1155	1074
YML102W	XIII	68294	69700	+	1407	137	170	237	187	275	260	218	207	166	212	224	223	149	107	127	171	166	155	117	107	96	144	177	156
YMR194W	XIII;XIII	651145;651624	651160;651910	+;+	303	5936	6005	6224	4676	4965	5064	5843	5922	6260	5437	5507	5801	4624	5313	5412	4447	4628	4666	4431	4797	5068	4769	5008	5040
YMR252C	XIII	775315	775719	-	405	190	232	213	233	215	249	329	326	323	383	452	411	201	192	234	213	190	221	237	209	195	251	299	220
YMR164C	XIII	587274	589550	-	2277	419	444	456	555	598	610	432	525	547	517	582	596	332	324	322	450	513	503	324	358	416	448	480	471
YMR074C	XIII	413036	413473	-	438	1385	1514	1444	1427	1316	1504	1560	1599	1718	1614	1522	1719	1862	1921	1910	2063	2065	2137	2116	2317	2324	2160	2276	2330
YML065W	XIII	142210	144954	+	2745	874	927	957	857	916	915	847	766	853	909	1044	1187	745	825	955	785	769	899	661	612	725	856	885	918
YMR243C	XIII	754838	756166	-	1329	6986	7447	7667	6048	6459	6489	6016	6378	6430	6751	7071	7245	5833	6079	6283	5752	6157	6018	5608	6259	6347	6749	7282	7203
snR85	XIII	67768	67938	-	171	90	81	85	72	78	82	104	106	66	72	90	72	720	760	756	715	760	763	778	796	805	892	964	892
YMR145C	XIII	554793	556475	-	1683	2575	2957	3165	3385	3669	3616	3550	4101	3947	4031	4273	4359	3539	3794	3967	5283	5580	5712	5356	5762	5696	6733	7622	7421
YML071C	XIII	129749	131572	-	1824	431	529	577	562	620	607	500	491	562	531	631	563	370	404	468	402	476	468	343	380	403	418	483	468
YMR015C	XIII	300869	302485	-	1617	3129	3380	3376	2593	2592	2738	2584	2738	2850	2217	2339	2331	3424	3479	3734	2573	2950	2540	2766	3009	3259	3235	3403	3380
YML070W	XIII	133475	135229	+	1755	2620	2719	2783	2858	3274	3407	2932	3259	3069	3774	3972	4086	1736	1849	1959	2751	2881	3042	2587	2605	2787	2949	3294	3220
YMR125W	XIII;XIII	517539;517886	517563;520446	+;+	2586	5617	6089	6317	5386	5572	5971	5267	5437	5375	5988	6480	6521	4853	5514	5609	4724	5357	5682	4931	5289	5439	5664	5899	6244
YMR325W	XIII	922641	923015	+	375	11	12	6	2	8	11	14	15	13	87	64	66	0	4	0	0	2	0	0	4	0	0	0	0
YMR141W-A	XIII	550911	551135	+	225	0	1	0	0	0	0	0	3	0	0	0	0	1	1	1	2	0	0	1	1	2	4	0	1
YML072C	XIII	124730	129367	-	4638	8729	9129	9623	10196	11489	11447	6836	7347	7245	7554	8284	8341	6585	6987	7355	7894	8233	8624	4701	4878	5294	7391	7703	7990
YML105C	XIII	57866	58687	-	822	1651	1826	1844	1486	1700	1743	1571	1802	1750	1715	1917	1895	1415	1468	1528	1448	1539	1687	1490	1577	1671	1643	1812	1718
YMR119W-A	XIII	506996	507370	+	375	20	22	20	8	32	24	19	23	30	39	32	29	12	20	30	32	13	35	28	22	26	21	57	26
YMR069W	XIII	407709	408566	+	858	44	39	40	19	55	28	16	21	29	37	27	26	63	83	88	51	59	64	46	44	41	52	55	52
YMR293C	XIII	855399	856793	-	1395	152	174	151	188	216	224	187	225	248	223	280	235	121	148	107	142	116	173	130	140	175	163	153	205
YML124C	XIII;XIII	22048;23659	23360;23683	-;-	1338	3746	4340	4391	4405	4799	4705	4327	4525	4613	4905	5441	5443	3228	3458	3563	3912	4416	4360	3748	3883	3907	4548	4747	5108
YMR090W	XIII	449245	449928	+	684	255	334	275	323	368	397	356	410	396	433	386	487	219	217	228	402	372	427	432	437	484	488	435	475
YML029W	XIII	217362	219878	+	2517	1128	1127	1157	1256	1303	1297	1014	1148	1144	1463	1490	1493	785	921	924	1233	1255	1227	975	1032	950	1214	1367	1352
YMR171C	XIII	603868	605520	-	1653	1921	2018	2041	1467	1745	1590	1544	1662	1784	1956	2100	2131	1743	1814	1844	1617	1735	1829	1692	1859	1796	1903	2089	2127
YMR102C	XIII	469848	472352	-	2505	4646	4918	5161	3874	4209	4228	3807	4000	4181	5361	5916	5919	1820	1945	2103	2306	2393	2513	1902	2059	1922	2457	2647	2655
YMR188C	XIII	636291	637004	-	714	836	995	975	790	910	887	1087	1177	1123	1444	1505	1574	532	609	659	552	670	608	674	701	720	764	732	746
YMR269W	XIII	804456	805091	+	636	31	22	33	31	43	30	31	24	23	43	28	32	23	26	21	18	21	22	12	13	16	23	20	25
YMR128W	XIII	523696	527499	+	3804	2965	3174	3437	2696	2848	2892	1965	1928	2055	2895	2884	3030	2802	2856	3045	2521	2802	2869	1874	1913	1969	2705	2898	2886
YMR039C	XIII	348644	349522	-	879	679	761	829	824	840	906	979	1052	1092	1136	1336	1236	689	756	743	761	842	820	751	737	840	891	973	1004
YMR230W	XIII;XIII	732414;732876	732465;733141	+;+	318	15426	16312	16623	11961	13016	12997	13529	14201	14539	11548	12331	12441	11667	12736	12906	11297	11968	12197	12175	13042	13012	12518	13027	12822
YMR267W	XIII	801772	802704	+	933	1129	1256	1238	1086	1176	1207	1221	1307	1234	1614	1571	1706	775	819	836	893	1010	1001	1032	1048	1064	1065	1230	1208
YMR247C	XIII	763351	768039	-	4689	2495	2699	2727	2320	2629	2549	1862	2070	1931	2144	2315	2300	2601	2792	2725	2325	2503	2690	2006	2235	2288	2432	2785	2868
YMR152W	XIII	563096	564193	+	1098	1075	1181	1237	1501	1577	1633	1722	1742	1802	1953	2041	2033	772	733	901	1335	1312	1368	1369	1421	1395	1355	1510	1695
YMR251W-A	XIII	774752	774931	+	180	1165	1185	1092	2437	2494	2531	2920	3138	3183	2523	2794	2840	804	753	852	2732	2878	3064	3382	3646	3678	2862	3095	3070
YMR146C	XIII	557481	558524	-	1044	6292	6769	6931	5350	5913	6136	5118	5564	5548	6573	7015	7013	4622	5160	5268	4691	5058	5154	4771	4939	4836	5394	5952	6111
YMR228W	XIII	724626	725651	+	1026	429	420	484	380	392	447	441	488	448	484	531	514	388	353	408	328	388	370	433	451	409	366	430	437
YMR032W	XIII	335298	337307	+	2010	651	675	674	680	838	802	644	688	791	728	773	705	667	625	692	587	563	604	419	499	510	588	658	714
YMR013C-A	XIII	296471	296620	-	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR001C-A	XIII	271347	271577	-	231	78	134	91	80	82	77	65	99	89	70	89	80	91	116	119	68	78	81	50	83	80	107	92	71
YMR031W-A	XIII	334709	335035	+	327	0	4	4	2	3	7	0	3	6	5	8	1	0	0	1	8	5	6	2	2	3	2	1	2
YMR153W	XIII	564435	565862	+	1428	943	1047	1089	994	1075	978	1076	1166	1023	1268	1230	1382	871	1003	1050	892	988	967	790	834	869	976	1141	1079
YMR056C	XIII	387315	388244	-	930	107	118	135	152	104	165	172	160	151	203	170	218	94	101	131	134	150	155	205	205	183	146	175	184
YMR282C	XIII	833356	835098	-	1743	638	591	577	547	556	602	607	652	667	710	745	698	525	553	604	559	612	615	581	639	625	598	607	663
YMR234W	XIII	740266	741312	+	1047	543	613	583	525	578	614	622	659	673	711	749	751	518	540	491	486	525	548	492	505	568	583	493	557
YMR323W	XIII	920088	921401	+	1314	0	0	0	6	2	0	4	4	2	2	2	2	4	2	4	4	2	2	10	2	4	10	6	0
YMR062C	XIII	395054	396379	-	1326	934	941	983	1099	1172	1115	1025	1203	1303	1410	1454	1593	737	781	817	1033	1070	1037	906	1022	1052	1150	1140	1196
YMR247W-A	XIII	769283	769426	+	144	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR038C	XIII	347511	348260	-	750	2166	2267	2334	2330	2498	2541	2389	2660	2520	3074	3120	3325	1869	2018	1982	1881	1927	2036	1795	1992	2090	2327	2453	2424
YMR049C	XIII	368094	370517	-	2424	3489	3686	3939	2925	3344	3278	2158	2367	2281	3018	3101	3194	3505	3628	3728	2764	3069	3091	2176	2246	2330	3033	3247	3422
YMR272W-B	XIII	811089	811196	+	108	0	1	0	0	2	3	0	0	0	2	0	1	0	4	0	1	0	0	4	4	0	0	1	3
YMR147W	XIII	559199	559870	+	672	236	256	233	182	244	251	167	171	180	231	243	225	205	211	233	189	237	233	163	199	165	256	174	242
YML067C	XIII;XIII	139063;140184	140090;140214	-;-	1059	1662	1698	1874	1749	1771	1868	1907	2159	2124	1984	2024	2092	1178	1204	1453	1414	1666	1519	1523	1587	1622	1608	1770	1806
tK(CUU)M	XIII	480621	480693	-	73	6	4	8	8	10	4	1	2	2	6	9	2	9	4	8	2	2	3	2	6	3	7	0	6
tR(UCU)M1	XIII	747892	747963	-	72	4	0	0	6	1	1	1	1	3	2	1	0	1	2	1	2	1	1	1	3	2	3	0	2
YML107C	XIII	55265	56269	-	1005	247	298	329	255	354	305	332	315	395	353	371	384	199	239	249	278	251	269	253	265	314	298	287	326
snR54	XIII	163535	163620	-	86	182	210	202	105	91	117	119	140	169	106	101	104	1583	1689	1616	1123	1215	1183	1730	1800	1940	1498	1498	1658
YMR231W	XIII	733545	736634	+	3090	1004	998	1079	1183	1217	1307	1039	1108	1104	1306	1311	1329	754	814	826	1058	1211	1152	870	877	947	1081	1197	1247
YMR081C	XIII	430079	431095	-	1017	98	122	128	447	435	410	364	399	428	433	462	413	135	153	127	725	748	838	1122	1210	1207	1356	1464	1411
YML051W	XIII	171594	172901	+	1308	1799	1788	1867	1529	1668	1810	1581	1608	1827	1905	2019	2057	1496	1658	1745	1504	1664	1747	1681	1766	1776	1707	1869	2001
YMR314W	XIII	901709	902413	+	705	2160	2304	2452	2818	2986	3181	2996	3338	3234	3803	4234	4055	1836	1851	2063	2480	2662	2660	2314	2438	2630	2683	2955	2940
YMR113W	XIII	494999	496282	+	1284	659	760	743	625	661	713	689	864	787	829	948	1008	514	590	589	594	667	726	651	718	679	746	768	819
YML031C-A	XIII	214086	214421	-	336	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
YMR263W	XIII	794919	795524	+	606	373	415	414	391	445	422	425	425	484	475	612	537	391	415	426	448	511	530	429	441	478	545	611	528
YML034W	XIII;XIII	209525;211571	211444;212155	+;+	2505	1125	1200	1336	1876	1846	1864	1384	1657	1656	1779	1866	1807	1222	1238	1355	1632	1776	1912	1377	1438	1509	1699	2004	1848
YMR131C	XIII	533163	534698	-	1536	8023	8604	8996	6267	6521	6611	6523	6876	7127	7848	8364	8646	7185	7715	7894	6103	6775	6882	6225	6425	6639	7365	7933	8150
YMR310C	XIII	895716	896669	-	954	802	862	823	587	620	616	479	454	465	549	610	607	667	803	833	481	522	554	396	461	469	542	541	575
YMR034C	XIII	339418	340722	-	1305	186	221	207	295	345	363	290	343	354	363	357	381	157	139	162	286	282	304	226	287	237	196	200	238
YML103C	XIII	62582	67549	-	4968	7010	7341	7568	6109	6494	6806	5156	5490	5453	6286	6920	6818	6568	6800	7058	6243	6585	6321	5084	5333	5394	6518	7105	7228
YMR306W	XIII	881159	886516	+	5358	175	224	213	265	241	259	234	222	242	274	322	274	134	172	146	177	181	186	142	140	159	165	152	200
YMR169C	XIII	599352	600872	-	1521	127	138	129	233	231	217	214	167	177	153	187	222	107	154	170	365	406	361	285	334	335	328	274	301
YMR186W	XIII	632355	634472	+	2118	67334	72575	73880	74953	80216	81612	71121	76611	77986	70510	75106	76153	52939	57764	58850	70162	75342	78013	58804	62359	63799	65762	69822	70088
YML059C	XIII	153219	158258	-	5040	1635	1870	1835	1976	2166	2293	1455	1562	1683	1563	1754	1647	1611	1698	1833	1740	1847	1915	1255	1393	1376	1737	1943	1908
YML086C	XIII	95791	97371	-	1581	882	856	921	1275	1275	1252	919	968	917	991	1147	1129	610	717	644	773	786	879	713	713	789	867	906	943
YMR013C	XIII	295179	296738	-	1560	467	587	557	476	579	565	507	617	559	560	594	626	737	780	774	729	773	892	869	828	869	890	953	996
YMR127C	XIII	522329	523345	-	1017	450	442	400	397	344	341	329	308	334	372	422	389	416	435	465	351	375	306	312	368	325	325	411	362
YMR153C-A	XIII	565574	565909	-	336	11	17	10	29	29	21	29	28	17	28	20	23	22	15	26	30	44	32	23	28	31	38	42	46
YMR212C	XIII	690695	693043	-	2349	4221	4630	4746	3575	3955	3863	4268	4324	4490	4365	4691	4700	3855	4176	4219	3301	3701	3638	4015	4090	4225	3839	4184	4374
YMR296C	XIII	859215	860891	-	1677	2764	2885	2964	3283	3415	3346	2326	2491	2500	2677	2997	2927	2126	2248	2201	2293	2533	2600	1933	1999	2018	2492	2573	2519
YMR101C	XIII	468445	469476	-	1032	37	41	33	32	40	30	31	25	31	54	34	32	12	28	19	16	22	18	17	22	41	25	35	20
YMR166C	XIII	593367	594473	-	1107	325	330	406	405	341	482	359	337	339	407	465	405	237	340	303	367	357	330	288	316	339	421	422	416
YMR061W	XIII	392755	394788	+	2034	1884	1934	2012	1572	1779	1857	1835	1984	2098	1878	2031	2192	2002	2025	2187	1759	2010	1978	1818	2068	2151	2086	2129	2297
YMR288W	XIII	845571	848486	+	2916	940	1081	1132	906	963	1070	765	934	885	938	1029	1029	969	1080	1070	943	916	937	774	942	906	963	1091	1129
YMR265C	XIII	796540	797925	-	1386	747	867	987	751	842	783	784	765	843	960	1003	966	574	662	632	663	768	734	610	752	692	773	880	876
YML116W	XIII	38196	39824	+	1629	602	655	725	688	743	628	756	875	803	989	1042	1064	513	533	509	634	662	684	600	607	603	559	587	552
YML130C	XIII	11483	13174	-	1692	3579	3931	3965	3161	3502	3497	3696	4083	3978	3512	3735	3874	3504	3720	3732	3791	4063	4206	4312	4696	4674	4097	4208	4359
YMR273C	XIII	811233	813980	-	2748	981	1024	1009	890	956	965	929	894	1035	1137	1228	1260	775	856	886	872	978	914	646	734	828	941	990	999
YMR292W	XIII;XIII	854795;854899	854816;855293	+;+	417	706	794	860	580	759	797	640	674	753	674	727	744	499	561	564	601	606	647	521	554	574	554	566	573
YMR137C	XIII	542978	544963	-	1986	241	201	249	261	302	266	277	286	283	319	360	302	187	223	208	185	225	236	219	220	213	252	267	325
YMR013W-A	XIII	298311	298391	+	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YML076C	XIII	112513	115347	-	2835	969	1111	1116	944	921	988	817	997	969	830	893	1009	1030	1041	1049	899	971	1016	824	787	877	1051	935	1023
YMR082C	XIII	431769	432125	-	357	2	1	0	1	4	1	4	1	0	6	0	2	1	0	1	4	0	4	1	0	4	3	4	14
tR(UCU)M2	XIII	131825	131896	-	72	1	3	2	1	0	2	1	0	0	0	1	1	5	3	9	4	5	9	5	11	8	6	2	6
YMR022W	XIII	318680	319177	+	498	996	1023	1008	1181	1274	1264	1329	1498	1577	1561	1813	1744	787	869	846	1073	1111	1315	1135	1260	1216	1249	1408	1369
YML062C	XIII	147505	148683	-	1179	310	367	412	417	338	385	453	459	460	601	604	543	311	352	311	324	483	366	358	440	343	446	451	463
YMR086C-A	XIII	442026	442364	-	339	14	19	19	16	18	11	27	12	8	11	11	21	28	20	15	14	28	27	28	23	27	24	32	31
YML035C	XIII	206428	208860	-	2433	2779	2892	2895	3105	3291	3387	2520	2695	2708	3224	3491	3708	2569	2954	2923	3112	3385	3277	2586	2861	2998	3422	3713	3656
YMR173W	XIII	608689	609981	+	1293	498	543	600	729	753	800	820	870	899	981	936	1079	335	307	357	608	614	615	581	680	651	626	694	739
YMR194C-A	XIII	652912	653136	-	225	12	11	27	12	13	13	18	18	24	26	35	31	9	13	10	11	23	20	21	18	26	18	19	18
YMR093W	XIII	454015	455556	+	1542	2401	2735	2662	1445	1706	1622	1563	1703	1709	1727	1787	1855	2412	2523	2582	1644	1588	1642	1689	1829	1838	1834	1836	2091
YML036W	XIII;XIII	205642;206204	206097;206293	+;+	546	485	444	504	376	409	485	440	463	411	432	481	448	311	381	372	384	379	399	324	377	342	371	377	382
YMR307W	XIII	887003	888682	+	1680	41501	45315	46145	39961	43675	44537	33884	35907	36794	39021	41973	42833	27345	29487	30733	30372	31838	32810	27109	29517	29651	34829	37109	37384
YML116W-A	XIII	37472	37774	+	303	57	53	66	63	78	66	66	89	61	125	130	77	34	41	49	64	74	65	50	69	59	76	76	68
YMR021C	XIII	317165	318418	-	1254	671	830	818	695	718	775	747	820	897	857	956	945	586	590	635	617	738	712	670	706	764	691	877	759
YMR135C	XIII	538689	540056	-	1368	89	119	130	303	297	339	214	199	177	126	176	179	68	76	87	223	193	227	134	141	181	188	163	208
YMR121C	XIII	509734	510348	-	615	587	640	627	661	740	770	692	762	743	798	826	845	423	440	388	516	547	591	468	467	487	561	493	492
YMR129W	XIII	527804	531817	+	4014	4752	4856	5173	3965	4248	4287	3653	3991	4136	4778	5052	5093	4293	4507	4432	4050	4244	4337	3549	3853	3896	4466	4773	4888
YML066C	XIII	140424	141533	-	1110	2	6	7	3	12	0	10	3	2	6	6	4	6	5	9	7	13	2	9	9	7	17	6	0
YMR045C	XIII	357359	362627	-	5269	5344	5529	5469	6383	6919	7218	3286	3779	3819	4481	4996	5328	4559	4981	5276	5858	5993	5658	3416	3521	3812	5024	5310	5350
YMR050C	XIII	373057	378325	-	5269	1291	1129	968	1158	1714	2323	443	463	684	711	903	945	1104	662	1144	1161	1073	961	519	738	782	1264	901	808
YML045W	XIII	184461	189729	+	5269	408	510	455	577	697	514	213	280	782	538	394	426	293	642	247	388	653	465	198	220	276	292	396	302
YML040W	XIII	196628	197950	+	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YML045W-A	XIII	184461	185783	+	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR046C	XIII	361305	362627	-	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YMR051C	XIII	377003	378325	-	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YML039W	XIII	196628	201896	+	5269	436	547	378	620	778	602	152	803	544	414	469	218	262	840	239	519	735	542	204	315	222	346	328	259
YBR225W	II	670627	673329	+	2703	924	925	891	1067	1253	1288	939	1062	1069	1235	1303	1365	751	721	806	1084	1145	1149	953	971	1052	1206	1339	1350
YBR182C-A	II	595361	595555	-	195	2	3	2	5	7	0	2	0	2	2	2	0	10	19	8	17	18	22	12	16	19	26	17	10
YBL055C	II	115573	116829	-	1257	1531	1636	1560	1394	1443	1455	1411	1601	1544	1681	1915	1755	1322	1398	1461	1324	1540	1512	1609	1546	1660	1532	1691	1594
YBR293W	II	787006	788430	+	1425	592	606	583	528	526	481	491	480	507	575	631	684	528	575	546	542	554	551	595	632	636	621	620	715
YBR223W-A	II	668721	668840	+	120	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	4	0	2	1	0	0	2	2	2
YBR115C	II	469748	473926	-	4179	2630	2810	2935	3379	3603	3781	2196	2312	2490	3356	3608	3541	2104	2206	2239	2559	2991	2896	1596	1755	1825	2599	2743	2902
YBR031W	II	300166	301254	+	1089	21740	24114	24310	24171	25972	26353	21723	23945	24278	23286	25231	25627	16416	18110	18211	19512	20601	20964	17521	18907	19110	22454	24487	24506
YBL108C-A	II	7605	7733	-	129	101	80	117	73	100	64	119	115	124	500	583	620	2	1	0	0	0	0	0	2	5	4	0	3
YBR116C	II	474199	474726	-	528	0	0	0	1	0	4	1	0	0	3	0	0	5	1	0	0	3	4	2	0	2	0	5	1
